Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21002A02-;CENTRE-SUD;Auderghem;0,051009914;0,093081372;0,418281295;0,323047116;0,081615862;0,104032122;0,418281295;0,323047116;0,03570694;0,038327624;0,081615862;0,104032122;1,300752808;0,870584602;0,754946728;0,580389734
21002A030;LAMMERENDRIES;Auderghem;0,096569172;0,166750903;0,79186721;0,578723723;0,154510675;0,186368657;0,79186721;0,578723723;0,06759842;0,068662137;0,154510675;0,186368657;2,462513884;1,559611389;1,429223744;1,039740926
21002A15-;SOUVERAIN (BLV DU)- BUILDINGS;Auderghem;0,006581924;0,013206417;0,05397178;0,045834035;0,010531079;0,014760113;0,05397178;0,045834035;0,004607347;0,005437936;0,010531079;0,014760113;0,167839072;0,123518841;0,097412481;0,082345894
21002A11-;SACRE-COEUR;Auderghem;0,047718952;0,086716834;0,391295405;0,300958425;0,076350323;0,096918815;0,391295405;0,300958425;0,033403266;0,035706932;0,076350323;0,096918815;1,216833272;0,811057449;0,706240487;0,540704966
21002A10-;TRANSVAAL;Auderghem;0,122485499;0,221804159;1,004381093;0,769790906;0,195976799;0,247898766;1,004381093;0,769790906;0,085739849;0,091331124;0,195976799;0,247898766;3,12338023;2,074521256;1,812785388;1,38301417
21002A14-;TEN REUKEN;Auderghem;0,020877041;0,031822691;0,17119174;0,110443459;0,033403266;0,035566538;0,17119174;0,110443459;0,014613929;0,013103461;0,033403266;0,035566538;0,532364556;0,297635761;0,308980213;0,198423841
21002A12-;AVENUE SCHALLER;Auderghem;0,074252335;0,126336085;0,608869143;0,438460531;0,118803735;0,141199154;0,608869143;0,438460531;0,051976634;0,052020741;0,118803735;0,141199154;1,89343453;1,181613972;1,098934551;0,787742648
21002A43-;SOUVERAIN (BOULEVARD DU) NORD;Auderghem;0,088855979;0,126336085;0,72861903;0,438460531;0,142169567;0,141199154;0,72861903;0,438460531;0,062199185;0,052020741;0,142169567;0,141199154;2,265827471;1,181613972;1,315068493;0,787742648
21002A091;TROIS COULEURS;Auderghem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21002A422;AVENUE IS.GERARD;Auderghem;0,007713193;0,011137942;0,06324818;0,03865521;0,012341108;0,012448288;0,06324818;0,03865521;0,005399235;0,004586211;0,012341108;0,012448288;0,196686412;0,104172516;0,114155251;0,069448344
21002A072;CENTRE COMMERCIAL;Auderghem;0,005553499;0,007796559;0,045538689;0,027058647;0,008885598;0,008713802;0,045538689;0,027058647;0,003887449;0,003210348;0,008885598;0,008713802;0,141614217;0,072920761;0,082191781;0,048613841
21002A041;VIGNETTE;Auderghem;0,028178864;0,045506449;0,231066683;0,157934146;0,045086182;0,050860149;0,231066683;0,157934146;0,019725205;0,018737949;0,045086182;0,050860149;0,718561027;0,425619139;0,417047184;0,283746092
