Code;Territoire;Commune;#femmes colloc dans commune;% de femmes de la commune dans secteur stat;#femmes colloc dans secteur stat
21012A811;MYRTES-NORD;Molenbeek Saint-Jean;1037;0,008719022;9,041625636
21012A141;INDEPENDANCE;Molenbeek Saint-Jean;1037;0,026957164;27,95457903
21012A03-;RANSFORT;Molenbeek Saint-Jean;1037;0,019961431;20,7000041
21012A11-;INDUSTRIE;Molenbeek Saint-Jean;1037;0,013314459;13,80709421
21012A02-;BRUNFAUT (QUARTIER);Molenbeek Saint-Jean;1037;0,009765304;10,12662071
21012A011;CANAL-SUD;Molenbeek Saint-Jean;1037;0,012083538;12,53062941
21012A732;CANAL-NORD;Molenbeek Saint-Jean;1037;0,01304776;13,53052683
21013A242;BETHLEEM (PLACE DE);Saint-Gilles;1511;0,034975645;52,84819931
21013A102;PARVIS;Saint-Gilles;1511;0,008105087;12,24678591
21013A101;PARVIS;Saint-Gilles;1511;0,051265671;77,46242913
21013A13-;DETHY (RUE);Saint-Gilles;1511;0,045116985;68,17176395
21013A121;GUILLAUME TELL-SUD;Saint-Gilles;1511;0,016609439;25,09686177
21013A422;CRICKX (RUE);Saint-Gilles;1511;0,057414358;86,75309431
21013A11-;PARME (RUE DE);Saint-Gilles;1511;0,03341851;50,49536852
21013A01-;ESPAGNE (RUE D');Saint-Gilles;1511;0,068873273;104,0675158
21013A04-;PRISON;Saint-Gilles;1511;0,035414837;53,51181825
21013A623;FRANCE (RUE DE);Saint-Gilles;1511;0,001078016;1,628882856
21013A201;ANGLETERRE (RUE D');Saint-Gilles;1511;0,04355985;65,81893316
21013A252;DANEMARK (RUE DE);Saint-Gilles;1511;0,040764992;61,59590354
21013A23-;ROI (AVENUE DU);Saint-Gilles;1511;0,030543799;46,15168091
21013A02-;CAPOUILLET (RUE);Saint-Gilles;1511;0,066238122;100,0858021
21013A2MJ;GARE DU MIDI;Saint-Gilles;1511;0,000598898;0,90493492
21013A612;JAMAR;Saint-Gilles;1511;0,005749421;8,68737523
21013A22-;REGIES;Saint-Gilles;1511;0,072985706;110,2814022
21013A211;FONTAINAS;Saint-Gilles;1511;0,047153238;71,24854268
21013A052;FAIDER (RUE);Saint-Gilles;1511;0,027589236;41,6873353
21013A151;METAL (RUE DU);Saint-Gilles;1511;0,038928372;58,82076978
21013A522;RUE D'ECOSSE;Saint-Gilles;1511;0,038089915;57,5538609
21013A40-;BARRIERE;Saint-Gilles;1511;0,041164258;62,19919348
21013A41-;VILLAS (AVENUE DES);Saint-Gilles;1511;0,054819133;82,83170965
21013A031;AMAZONE (RUE DE);Saint-Gilles;1511;0,029904975;45,18641699
21013A00-;HOTEL DE VILLE;Saint-Gilles;1511;0,07294578;110,2210732
21013A51-;TOISON D'OR (AVENUE);Saint-Gilles;1511;0,035893955;54,23576619
21014A00-;PLACE SAINT-JOSSE;Saint-Josse-ten-Noode;597;0,122856276;73,34519654
21014A02-;CHARITE;Saint-Josse-ten-Noode;597;0,066626195;39,77583852
21014A14-;PRAIRIE;Saint-Josse-ten-Noode;597;0,046365154;27,67999696
21014A2MJ;NORD;Saint-Josse-ten-Noode;597;0,000227652;0,135908332
21014A41-;BOSSUET;Saint-Josse-ten-Noode;597;0,146759751;87,61557141
21014A10-;SAINT-FRANCOIS;Saint-Josse-ten-Noode;597;0,098269844;58,66709668
21014A13-;ROGIER;Saint-Josse-ten-Noode;597;0;0
21014A03-;MADOU;Saint-Josse-ten-Noode;597;0,044012749;26,27561087
21014A12-;SAINT-LAZARE;Saint-Josse-ten-Noode;597;0,010320231;6,16117772
21014A01-;STEURS;Saint-Josse-ten-Noode;597;0,04348156;25,95849143
21014A04-;HAECHT (CHAUSSEE DE);Saint-Josse-ten-Noode;597;0,117392624;70,08339657
21014A05-;HOUWAERT;Saint-Josse-ten-Noode;597;0,282895735;168,888754
21014A18-;JARDIN BOTANIQUE;Saint-Josse-ten-Noode;597;0;0
21014A3MJ;MANHATTAN;Saint-Josse-ten-Noode;597;0,019350433;11,55220823
21015A50-;OPALE;Schaerbeek;2198;0,040019748;87,96340624
21015A77-;R.T.B.;Schaerbeek;2198;0,015977978;35,11959546
21015A73-;H. EVENEPOEL (RUE);Schaerbeek;2198;0,010592143;23,28152958
21015A782;CIMETIERE DE SAINT-JOSSE;Schaerbeek;2198;0,002139373;4,702342838
21015A31-;PATRIE;Schaerbeek;2198;0,0192394;42,28820203
21015A36-;CAMBIER (AVENUE E.);Schaerbeek;2198;0,014736244;32,39026361
21015A70-;P. HYMANS (RUE);Schaerbeek;2198;0,014915772;32,7848658
21015A721;F. COURTENS (AVENUE);Schaerbeek;2198;0,007959068;17,4940307
