SECTOR;TX_SECTOR_WORK_DESCR_FR;Sum of OBS_VALUE;Nb Actualisé
21012A22-;BRASILIA;21;22
21012A23-;MACHTENS-SUD;165;172
21012A24-;OSSEGHEM;121;126
21012A26-;MACHTENS-NORD;70;73
21012A29-;MARIE-JOSE (PARC);1;1
21012A30-;METTEWIE - IDYLLE;133;139
21012A39-;DE RAEDT;159;166
21012A41-;MOORTEBEEK;259;270
21012A50-;BENES;346;361
21012A511;STEYNS;315;328
21012A52-;NEEP (QUARTIER DU);179;187
21012A54-;DELHAIZE;1445;1506
21012A552;PFEIFFER;17;18
21012A60-;LAEKENVELD;219;228
21012A611;MEXICO;327;341
21012A62-;LIBERATEURS;248;259
21012A63-;DUBRUCQ-NORD;476;496
21012A672;ULENS;4878;5085
21012A71-;PIERS;117;122
21012A72-;LAVALLEE;1255;1308
21012A732;CANAL-NORD;482;502
21012A811;MYRTES-NORD;27;28
21012A822;KORENBEEK;78;81
21012A833;ELBERS;114;119
21012A84-;METTEWIE-BUILDINGS;58;60
21012A851;CONDOR;321;335
21012A882;DARING;24;25
21012ZZZZ;COMMUNE DE MOLENBEEK-SAINT-JEAN: NON LOCALISABLE DANS UN SECTEUR;246;256
21013A00-;HOTEL DE VILLE;259;270
21013A01-;ESPAGNE (RUE D');328;342
21013A02-;CAPOUILLET (RUE);1097;1144
21013A031;AMAZONE (RUE DE);131;137
21013A04-;PRISON;958;999
21013A052;FAIDER (RUE);1446;1507
21013A101;PARVIS;134;140
21013A102;PARVIS;8;8
21013A11-;PARME (RUE DE);182;190
21013A121;GUILLAUME TELL-SUD;17;18
21013A13-;DETHY (RUE);80;83
21013A151;METAL (RUE DU);397;414
21013A201;ANGLETERRE (RUE D');5035;5249
21013A211;FONTAINAS;92;96
21013A22-;REGIES;211;220
21013A23-;ROI (AVENUE DU);338;352
21013A242;BETHLEEM (PLACE DE);312;325
21013A252;DANEMARK (RUE DE);37;39
21013A2MJ;GARE DU MIDI;2038;2125
21013A40-;BARRIERE;157;164
21013A41-;VILLAS (AVENUE DES);63;66
21013A422;CRICKX (RUE);17;18
