CD;SECTOR;TX_SECTOR_RESIDENCE_DESCR_FR;Sum of OBS_VALUE;Corrected_val;ratio_idem_partout;;;;
BE100;21007A132;DENAYER (RUE);8;11;1,362176683;;;;
BE100;21007A142;MONTE CARLO;74;101;1,362176683;;;;
BE100;21007A201;ROOSENDAEL (RUE);136;185;1,362176683;;;;
BE100;21007A21-;MAGNANERIE;16;22;1,362176683;;;;
BE100;21007A239;NEPTUNE (AVENUE) I;143;195;1,362176683;;;;
BE100;21007A242;GLOBE;31;42;1,362176683;;;;
BE100;21007A252;MESSIDOR II;8;11;1,362176683;;;;
BE100;21007A373;CHARROI (RUE DE);3;4;1,362176683;;;;
BE100;21007A40-;PONT DE LUTTRE;116;158;1,362176683;;;;
BE100;21007A41-;PONT DE LUTTRE-OUEST;32;44;1,362176683;;;;
BE100;21007A50-;BERANGER;200;272;1,362176683;;;;
BE100;21007A51-;CHATAIGNE;65;89;1,362176683;;;;
BE100;21007A52-;VAN VOLXEM - PETITE INDUSTRIE;45;61;1,362176683;;;;
BE100;21007A53-;WIELEMANS CEUPPENS;124;169;1,362176683;;;;
BE100;21007A541;LYCEE;34;46;1,362176683;;;;
BE100;21007A552;REINE MARIE-HENRIETTE;22;30;1,362176683;;;;
BE100;21007A60-;SAINT-ANTOINE;238;324;1,362176683;;;;
BE100;21007A61-;MONTENEGRO (RUE);316;430;1,362176683;;;;
BE100;21007A70-;ALTITUDE  CENT;213;290;1,362176683;;;;
BE100;21007A71-;CHAUSSEE D'ALSEMBERG;80;109;1,362176683;;;;
BE100;21007A72-;MOLIERE;275;375;1,362176683;;;;
BE100;21007A73-;BERCKENDAEL (RUE);143;195;1,362176683;;;;
BE100;21007A75-;TOURNOI (RUE DU);54;74;1,362176683;;;;
BE100;21007A783;PARC DE FOREST;41;56;1,362176683;;;;
BE100;21007A814;VILLAS - MONT KEMMEL;15;20;1,362176683;;;;
BE100;21008A00-;CENTRE;90;123;1,362176683;;;;
BE100;21008A01-;VAN PAGE-SUD;38;52;1,362176683;;;;
BE100;21008A02-;SIPPELBERG;181;247;1,362176683;;;;
BE100;21008A10-;PLATEAU;202;275;1,362176683;;;;
BE100;21008A20-;CHARLES-QUINT;270;368;1,362176683;;;;
BE100;21008A21-;MAIL;158;215;1,362176683;;;;
BE100;21008A220;VILLAS DE GANSHOREN (OUEST);99;135;1,362176683;;;;
BE100;21008A23-;DE MESMAEKER;15;20;1,362176683;;;;
BE100;21008A240;REFORME;79;108;1,362176683;;;;
BE100;21008A30-;LE HOME;96;131;1,362176683;;;;
BE100;21008A31-;TOUSSAINT;26;35;1,362176683;;;;
BE100;21008A32-;HEIDEKEN;93;127;1,362176683;;;;
BE100;21008A33-;VAN PAGE-NORD;79;108;1,362176683;;;;
BE100;21008A34-;PARC ALBERT;41;56;1,362176683;;;;
BE100;21008A35-;CHARTE;28;38;1,362176683;;;;
BE100;21009A00-;CENTRE;124;169;1,362176683;;;;
BE100;21009A01-;BLYCKAERTS;117;159;1,362176683;;;;
BE100;21009A02-;MUSEE;187;255;1,362176683;;;;
BE100;21009A03-;ERMITAGE;123;168;1,362176683;;;;
BE100;21009A041;ARBRE BENIT;153;208;1,362176683;;;;
BE100;21009A051;SAINT-BONIFACE;80;109;1,362176683;;;;
BE100;21009A101;FLAGEY (PLACE);105;143;1,362176683;;;;
BE100;21009A111;WERY (RUE);184;251;1,362176683;;;;
BE100;21009A121;GENERAL DE GAULLE;51;69;1,362176683;;;;
BE100;21009A13-;GACHARD;77;105;1,362176683;;;;
BE100;21009A151;A. DELPORTE-NORD;49;67;1,362176683;;;;
BE100;21009A192;ETANGS;1;1;1,362176683;;;;
BE100;21009A20-;PETITE SUISSE (PLACE DE LA);198;270;1,362176683;;;;
BE100;21009A21-;ETE;212;289;1,362176683;;;;
BE100;21009A22-;UNIVERSITE;265;361;1,362176683;;;;
BE100;21009A23-;ETOILE (ROND POINT DE L');150;204;1,362176683;;;;
BE100;21009A2MJ;CAMPUS UNIVERSITAIRE;7;10;1,362176683;;;;
BE100;21009A301;BOONDAEL-NORD;57;78;1,362176683;;;;
BE100;21009A311;TREILLE (RUE DE LA);18;25;1,362176683;;;;
BE100;21009A33-;SAINT-ADRIEN;228;311;1,362176683;;;;
BE100;21009A34-;STADE COMMUNAL;20;27;1,362176683;;;;
BE100;21009A40-;MELEZES;132;180;1,362176683;;;;
BE100;21009A41-;SAINT-GEORGES;147;200;1,362176683;;;;
BE100;21009A42-;RENIER CHALON;165;225;1,362176683;;;;
BE100;21009A43-;FERNAND NEURAY;117;159;1,362176683;;;;
BE100;21009A44-;PREVOT;136;185;1,362176683;;;;
BE100;21009A451;CHATELAIN (PLACE DU)-EST;136;185;1,362176683;;;;
BE100;21009A501;LUXEMBOURG (PLACE DE);28;38;1,362176683;;;;
BE100;21009A512;WIERTZ;13;18;1,362176683;;;;
BE100;21009A52-;GRAY (RUE);211;287;1,362176683;;;;
BE100;21009A53-;LONDRES (PLACE DE);194;264;1,362176683;;;;
BE100;21009A542;EGLISE ANGLICANE;39;53;1,362176683;;;;
BE100;21009A552;PORTE DE NAMUR;68;93;1,362176683;;;;
BE100;21009A602;BELVEDERE;23;31;1,362176683;;;;
BE100;21009A612;LIEGEOIS (RUE);188;256;1,362176683;;;;
BE100;21009A623;KLAUWAERTS;20;27;1,362176683;;;;
BE100;21009A63-;MACAU;180;245;1,362176683;;;;
BE100;21009A652;HOPITAUX;166;226;1,362176683;;;;
BE100;21009A712;CHATELAIN (PLACE DU)-OUEST;47;64;1,362176683;;;;
BE100;21009A72-;DEFACQZ;100;136;1,362176683;;;;
BE100;21009A73-;BERCKENDAEL;198;270;1,362176683;;;;
BE100;21009A802;BOONDAEL-SUD;16;22;1,362176683;;;;
BE100;21009A812;SCHOOLGAT;19;26;1,362176683;;;;
BE100;21009A82-;FORET;52;71;1,362176683;;;;
BE100;21009A83-;L. ERNOTTE (RUE);5;7;1,362176683;;;;
BE100;21009A90-;SAINT-PHILIPPE DE NERI;97;132;1,362176683;;;;
BE100;21009A911;A. DELPORTE-SUD;95;129;1,362176683;;;;
BE100;21009A922;CASERNE;18;25;1,362176683;;;;
BE100;21009ZZZZ;COMMUNE DE IXELLES: NON LOCALISABLE DANS UN SECTEUR;5;7;1,362176683;;;;
BE100;21010A00-;CENTRE;389;530;1,362176683;;;;
BE100;21010A01-;ESSEGHEM;250;341;1,362176683;;;;
BE100;21010A02-;LEOPOLD I;223;304;1,362176683;;;;
BE100;21010A03-;MIROIR;186;253;1,362176683;;;;
