Code;Territoire;Population totale;Nombre de femmes;Nombre d'hommes
21012A26-;MACHTENS-NORD;3845;2067;1778
21012A29-;MARIE-JOSE (PARC);0;0;0
21012A25-;BEEKKANT;848;436;412
21012A172;GARE OUEST;1143;574;569
21012A041;QUATRE VENTS;2091;1001;1090
21012A10-;DUCHESSE DE BRABANT;2517;1183;1334
21012A00-;CENTRE;2490;1197;1293
21012A05-;SAINT-JOSEPH;1117;536;581
21012A59-;KARREVELD;19;8;11
21012A851;CONDOR;1385;747;638
21012A882;DARING;534;260;274
21012A22-;BRASILIA;268;143;125
21012A13-;BIRMINGHAM-NORD;1535;715;820
21012A12-;BIRMINGHAM-SUD;1406;674;732
21012A672;ULENS;2605;1230;1375
21012A60-;LAEKENVELD;4968;2447;2521
21012A63-;DUBRUCQ-NORD;2292;1124;1168
21012A62-;LIBERATEURS;5475;2661;2814
21012A511;STEYNS;3004;1515;1489
21012A20-;BAECK;2037;1080;957
21012A72-;LAVALLEE;2759;1339;1420
21012A611;MEXICO;1728;818;910
21012A53-;SIPPELBERG;351;175;176
21012A54-;DELHAIZE;3289;1649;1640
21012A50-;BENES;3355;1777;1578
21012A71-;PIERS;3968;1835;2133
21012A21-;MARIE-JOSE BLOCS;1837;1024;813
21012A2MJ;CHEMIN DE FER;64;31;33
21012A152;ETANGS NOIRS;5855;2793;3062
21012A52-;NEEP (QUARTIER DU);3872;2018;1854
21012A39-;DE RAEDT;89;58;31
21012A30-;METTEWIE - IDYLLE;2225;1187;1038
21012A23-;MACHTENS-SUD;3583;1916;1667
21012A41-;MOORTEBEEK;1613;833;780
21012A822;KORENBEEK;4793;2471;2322
21012A811;MYRTES-NORD;902;425;477
21012A141;INDEPENDANCE;2691;1314;1377
21012A03-;RANSFORT;1940;973;967
21012A11-;INDUSTRIE;1429;649;780
21012A02-;BRUNFAUT (QUARTIER);898;476;422
21012A011;CANAL-SUD;1277;589;688
21012A732;CANAL-NORD;1367;636;731
21013A242;BETHLEEM (PLACE DE);1857;876;981
21013A102;PARVIS;431;203;228
21013A101;PARVIS;2555;1284;1271
21013A13-;DETHY (RUE);2300;1130;1170
21013A121;GUILLAUME TELL-SUD;872;416;456
21013A422;CRICKX (RUE);2939;1438;1501
21013A11-;PARME (RUE DE);1665;837;828
21013A01-;ESPAGNE (RUE D');3321;1725;1596
21013A04-;PRISON;1720;887;833
21013A623;FRANCE (RUE DE);61;27;34
21013A201;ANGLETERRE (RUE D');2362;1091;1271
21013A252;DANEMARK (RUE DE);2100;1021;1079
21013A23-;ROI (AVENUE DU);1521;765;756
21013A02-;CAPOUILLET (RUE);3172;1659;1513
21013A2MJ;GARE DU MIDI;31;15;16
21013A612;JAMAR;425;144;281
21013A22-;REGIES;3816;1828;1988
21013A211;FONTAINAS;2314;1181;1133
21013A052;FAIDER (RUE);1359;691;668
21013A151;METAL (RUE DU);1950;975;975
21013A522;RUE D'ECOSSE;1915;954;961
21013A40-;BARRIERE;2117;1031;1086
21013A41-;VILLAS (AVENUE DES);2688;1373;1315
21013A031;AMAZONE (RUE DE);1400;749;651
21013A00-;HOTEL DE VILLE;3540;1827;1713
21013A51-;TOISON D'OR (AVENUE);1790;899;891
21014A00-;PLACE SAINT-JOSSE;3355;1619;1736
21014A02-;CHARITE;1808;878;930
21014A14-;PRAIRIE;1335;611;724
21014A2MJ;NORD;5;3;2
21014A41-;BOSSUET;4038;1934;2104
21014A10-;SAINT-FRANCOIS;2641;1295;1346
21014A13-;ROGIER;0;0;0
21014A03-;MADOU;1183;580;603
21014A12-;SAINT-LAZARE;348;136;212
21014A01-;STEURS;1150;573;577
21014A04-;HAECHT (CHAUSSEE DE);3252;1547;1705
21014A05-;HOUWAERT;7704;3728;3976
21014A18-;JARDIN BOTANIQUE;0;0;0
21014A3MJ;MANHATTAN;547;255;292
21015A50-;OPALE;5126;2675;2451
21015A77-;R.T.B.;2324;1068;1256
21015A73-;H. EVENEPOEL (RUE);1387;708;679
21015A782;CIMETIERE DE SAINT-JOSSE;286;143;143
21015A31-;PATRIE;2555;1286;1269
21015A36-;CAMBIER (AVENUE E.);1930;985;945
21015A70-;P. HYMANS (RUE);1931;997;934
21015A721;F. COURTENS (AVENUE);983;532;451
21015A822;CH. GILISQUET - SUD (AVENUE);431;215;216
21015A7MJ;JOSAPHAT GARE;5;2;3
21015A34-;PAQUERETTES (RUE);1629;827;802
21015A63-;DESCHANEL P. (AVENUE);1600;816;784
21015A883;THEUNIS PIERRE (RUE);568;321;247
21015A811;TERDELT;1348;703;645
21015A831;LATINIS (AVENUE G.);3731;1948;1783
21015A03-;JOSAPHAT (RUE);5441;2749;2692
21015A021;HOUFFALIZE (PLACE);3554;1741;1813
21015A30-;GRANDE RUE AU BOIS;3654;1844;1810
21015A32-;CONSOLATION (RUE DE LA);2967;1513;1454
21015A64-;DUPLOYE SQUARE;3061;1531;1530
21015A33-;BIENFAITEURS (PLACE DE);2441;1215;1226
21015A35-;JEAN STOBBAERTS (AVENUE);2209;1152;1057
21015A53-;DAILLY (PLACE);3447;1732;1715
21015A54-;EMERAUDE (AVENUE);5099;2647;2452
21015A52-;LINTHOUT (RUE);2807;1464;1343
21015A51-;CERISIERS (AVENUE DES);1710;906;804
21015A05-;ROYALE SAINTE-MARIE (RUE);4567;2204;2363
21015A12-;HUART HAMOIR (AVENUE);2468;1282;1186
21015A152;PR. ELISABETH-NORD;3611;1798;1813
21015A101;GARE;1890;932;958
21015A111;MAETERLINCK;2807;1381;1426
21015A142;SAINTE-FAMILLE;233;129;104
21015A622;BRUSILIA;973;514;459
21015A71-;JARDINS;1599;859;740
21015A04-;L'OLIVIER (RUE);4946;2422;2524
21015A39-;JOSAPHAT (PARC);11;6;5
21015A421;PALAIS (RUE DE);1949;939;1010
21015A40-;BRABANT (RUE DE);3757;1791;1966
21015A43-;GARE DU NORD;1800;827;973
21015A44-;REINE (AVENUE);3552;1790;1762
21015A41-;VANDERLINDEN (RUE);3374;1607;1767
21015A612;BRICHAUT (RUE DE);4321;2132;2189
21015A45-;STEPHENSON (PLACE);1665;832;833
21015A00-;COLIGNON (PLACE);7545;3686;3859
21015A01-;VAN YSENDYCK (RUE);1027;512;515
21015A24-;WAELHEM (RUE);2817;1424;1393
