Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21017A323;DREVE DES TUMULI;Watermael-Boitsfort;0,007400092;0,009071886;0,043727814;0,05030773;0,01076377;0,015669621;0,043727814;0,05030773;0;0;0,01076377;0,015669621;0,129165235;0,128655835;0,074000916;0,106388479
21017A393;ETANGS DE BOITSFORT;Watermael-Boitsfort;0,002834078;0,001489414;0,016746822;0,008259478;0,004122295;0,002572624;0,016746822;0,008259478;0;0;0,004122295;0,002572624;0,049467537;0,0211226;0,028340776;0,017466765
21017A382;FORESTERIE;Watermael-Boitsfort;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21018A20-;GEORGES HENRI (AVENUE);Woluwe Saint-Lambert;0,229223762;0,186586811;1,475005075;1,128850204;0,18935876;0,3451856;1,475005075;1,128850204;0,029898752;0,074634724;0,18935876;0,3451856;3,787175193;2,836119521;2,053047605;2,528251283
21018A72-;ROGATIONS;Woluwe Saint-Lambert;0,171297706;0,137115528;1,1022635;0,829548945;0,141506801;0,253663727;1,1022635;0,829548945;0,022343179;0,054846211;0,141506801;0,253663727;2,830136013;2,084156027;1,534231628;1,857915405
21018A21-;DE BROQUEVILLE (AVENUE)-NORD;Woluwe Saint-Lambert;0,196540043;0,189877583;1,264692448;1,148759379;0,162359166;0,351273529;1,264692448;1,148759379;0,025635658;0,075951033;0,162359166;0,351273529;3,247183313;2,886139265;1,760315164;2,572841253
21018A35-;HOF TEN BERG-NORD;Woluwe Saint-Lambert;0,068577446;0,063511913;0,441280958;0,384247071;0,056650934;0,117497038;0,441280958;0,384247071;0,008944884;0,025404765;0,056650934;0,117497038;1,133018676;0,965381071;0,614215388;0,860586416
21018A34-;HOF TEN BERG-SUD;Woluwe Saint-Lambert;0,078207471;0,063292528;0,503248071;0,382919793;0,064606171;0,117091176;0,503248071;0,382919793;0,010200974;0,025317011;0,064606171;0,117091176;1,292123427;0,962046422;0,70046691;0,857613751
21018A32-;CLOS DES PEUPLIERS;Woluwe Saint-Lambert;0,032975538;0,025229257;0,212190418;0,152637006;0,027240662;0,046674126;0,212190418;0,152637006;0,004301157;0,010091703;0,027240662;0,046674126;0,544813236;0,383484709;0,295346123;0,341856435
21018A311;PARC SCHUMAN;Woluwe Saint-Lambert;0,150286744;0,140954763;0,967062525;0,852776315;0,124149919;0,260766311;0,967062525;0,852776315;0,019602619;0,056381905;0,124149919;0,260766311;2,482998376;2,142512395;1,346046488;1,909937037
