Code;Territoire;single dad;;Faire une loi normale centrée en 43 allant de 16 à 70
21016A225;PTOLEMEE;0;;
21016A64-;MOLENSTEEN;17;;
21016A05-;LE CHAT;32;;
21016A39-;FORET DE SOIGNES LORRAINE-EST;0;;
21016A692;CIMETIERE - ST.-GILLES;0;;
21016A533;MOENSBERG;0;;
21016A943;SEPT-BONNIERS;0;;
21016A65-;ALSEMBERG-SUD;6;;
21016A601;BOURDON;6;;
21016A620;KRIEKENPUT;13;;
21016A01-;DIEWEG;25;;
21016A00-;GLOBE-EST;59;;
21016A193;WOLVENDAEL;0;;
21016A102;GROESELENBERG;20;;
21016A12-;HAMOIR;23;;
21016A44-;PECHERIE;20;;
21016A214;ASTRONOMES;0;;
21016A322;CHAUSSEE DE WATERLOO-EST;0;;
21016A400;SAINT-JOB;38;;
21016A429;CARLOO;21;;
21016A410;ALPHONSE XIII;0;;
21016A490;KAUWBERG;0;;
21016A639;HOMBORCH;18;;
21016A610;ENGELAND;0;;
21016A521;VERREWINKEL;0;;
21016A342;FOND;21;;
21016A311;FORT JACO;13;;
21017A512;VANDER ELST - BIEN FAIRE;16;;
21017A541;LOUTRIER - WIENER;0;;
21017A192;STADE DES TROIS TILLEULS;0;;
21017A635;PRINCES BRABANCONS;0;;
21017A11-;FLOREAL;15;;
21017A240;SOUVERAIN-OUEST;0;;
21017A230;BEGUINETTES;12;;
21017A220;LE LOGIS-SUD;0;;
21017A443;VILLE-ET-FORET - ELAN;0;;
21017A41-;AVENUE DE VISE;15;;
21017A523;MARTIN-PECHEUR;10;;
21017A613;AVENUE DE TERCOIGNE;0;;
21017A696;HERONNIERE;0;;
21017A624;PECHERIES;10;;
21017A534;RUE DES BEGONIAS;0;;
21017A501;CENTRE DE WATERMAEL;0;;
21017A421;WATERMAEL - STATION;0;;
21017A432;DRIES;14;;
21017A021;DREVE DES EQUIPAGES;0;;
21017A01-;COIN DU BALAI;7;;
21017A12-;LE LOGIS-NORD;20;;
21017A08-;SOUVERAIN-EST;0;;
21017A13-;BOULEAUX;15;;
21017A212;AVENUE DE LA TENDERIE;16;;
21017A000;CENTRE DE BOITSFORT;10;;
21017A09-;FORET DE SOIGNES;0;;
21017A451;FUTAIE;7;;
21017A472;ZONING DE BUREAUX-NORD;0;;
21017A374;ZONING DE BUREAUX-SUD;0;;
21017A041;DREVE DU DUC;0;;
21017A031;AVENUE DELLEUR;0;;
21017A312;CLOS DES CHENES;0;;
21017A323;DREVE DES TUMULI;0;;
